Year,Race,Level,Total,Subtotal
1972,Black,Professional ,1013,41
1971,Black,Overall,32280,1358
1971,Black,Undergraduate ,23105,1039
1971,Black,Graduate ,8127,280
1971,Black,Professional ,1048,39
1970,Black,Overall,34018,1251
1970,Black,Undergraduate ,24558,943
1970,Black,Graduate ,8458,267
1970,Black,Professional ,1002,41
1969,Black,Overall,32759,1025
1969,Black,Undergraduate ,23431,783
1969,Black,Graduate ,8462,221
1969,Black,Professional ,866,21
1968,Black,Overall,31843,852
1968,Black,Undergraduate ,22944,701
1968,Black,Graduate ,8046,140
1968,Black,Professional ,853,11
2017,Asian American,Overall,47826,7171
2017,Asian American,Undergraduate ,33624,6053
2017,Asian American,Graduate ,13210,1048
2017,Asian American,Professional ,992,70
2016,Asian American,Overall,44880,6633
2016,Asian American,Undergraduate ,33467,5867
2016,Asian American,Graduate ,10428,694
2016,Asian American,Professional ,985,72
2015,Asian American,Overall,44087,6269
2015,Asian American,Undergraduate ,32878,5571
2015,Asian American,Graduate ,10245,637
2015,Asian American,Professional ,964,61
2014,Asian American,Overall,43603,5865
2014,Asian American,Undergraduate ,32579,5148
2014,Asian American,Graduate ,10037,654
2014,Asian American,Professional ,987,63
2013,Asian American,Overall,43398,5573
2013,Asian American,Undergraduate ,32294,4833
2013,Asian American,Graduate ,10080,673
2013,Asian American,Professional ,1024,67
2012,Asian American,Overall,42883,5255
2012,Asian American,Undergraduate ,31901,4554
2012,Asian American,Graduate ,9881,636
2012,Asian American,Professional ,1101,65
2011,Asian American,Overall,42606,4991
2011,Asian American,Undergraduate ,31932,4284
2011,Asian American,Graduate ,9551,634
2011,Asian American,Professional ,1123,73
2010,Asian American,Overall,41949,4786
2010,Asian American,Undergraduate ,31252,4068
2010,Asian American,Graduate ,9584,641
2010,Asian American,Professional ,1113,77
2009,Asian American,Overall,41918,4834
2009,Asian American,Undergraduate ,31209,4135
2009,Asian American,Graduate ,9630,629
2009,Asian American,Professional ,1079,70
2008,Asian American,Overall,41495,4835
2008,Asian American,Undergraduate ,31173,4154
2008,Asian American,Graduate ,9290,608
2008,Asian American,Professional ,1032,73
2007,Asian American,Overall,40923,4628
2007,Asian American,Undergraduate ,30688,3949
2007,Asian American,Graduate ,9225,588
2007,Asian American,Professional ,1010,91
2006,Asian American,Overall,41180,4538
2006,Asian American,Undergraduate ,30930,3830
2006,Asian American,Graduate ,9205,586
2006,Asian American,Professional ,1045,122
2005,Asian American,Overall,40510,4572
2005,Asian American,Undergraduate ,30449,3840
2005,Asian American,Graduate ,9032,599
2005,Asian American,Professional ,1029,133
2004,Asian American,Overall,39516,4487
2004,Asian American,Undergraduate ,29284,3762
2004,Asian American,Graduate ,9164,600
2004,Asian American,Professional ,1068,125
2003,Asian American,Overall,38872,4238
2003,Asian American,Undergraduate ,28591,3614
2003,Asian American,Graduate ,9216,533
2003,Asian American,Professional ,1065,91
2002,Asian American,Overall,38263,4204
2002,Asian American,Undergraduate ,28243,3685
2002,Asian American,Graduate ,8966,453
2002,Asian American,Professional ,1054,66
2001,Asian American,Overall,37684,4126
2001,Asian American,Undergraduate ,28114,3696
2001,Asian American,Graduate ,8509,379
2001,Asian American,Professional ,1061,51
2000,Asian American,Overall,36936,4108
2000,Asian American,Undergraduate ,27882,3686
2000,Asian American,Graduate ,8055,373
2000,Asian American,Professional ,999,49
1999,Asian American,Overall,36690,4069
1999,Asian American,Undergraduate ,27855,3606
1999,Asian American,Graduate ,7874,416
1999,Asian American,Professional ,961,47
1998,Asian American,Overall,36303,4028
1998,Asian American,Undergraduate ,27452,3576
1998,Asian American,Graduate ,7910,402
1998,Asian American,Professional ,941,50
1997,Asian American,Overall,35979,3909
1997,Asian American,Undergraduate ,26838,3420
1997,Asian American,Graduate ,8189,432
1997,Asian American,Professional ,952,57
1996,Asian American,Overall,36124,3902
1996,Asian American,Undergraduate ,26707,3377
1996,Asian American,Graduate ,8471,471
1996,Asian American,Professional ,946,54
1995,Asian American,Overall,36395,3912
1995,Asian American,Undergraduate ,26665,3363
1995,Asian American,Graduate ,8794,513
1995,Asian American,Professional ,961,53
1994,Asian American,Overall,36137,3866
1994,Asian American,Undergraduate ,26312,3332
1994,Asian American,Graduate ,8898,478
1994,Asian American,Professional ,927,56
1993,Asian American,Overall,36374,3646
1993,Asian American,Undergraduate ,26296,3144
1993,Asian American,Graduate ,9154,460
1993,Asian American,Professional ,924,42
1992,Asian American,Overall,35760,3362
1992,Asian American,Undergraduate ,25812,2917
1992,Asian American,Graduate ,9021,411
1992,Asian American,Professional ,927,34
1991,Asian American,Overall,36081,3195
1991,Asian American,Undergraduate ,26328,2763
1991,Asian American,Graduate ,8824,412
1991,Asian American,Professional ,929,20
1990,Asian American,Overall,35699,2976
1990,Asian American,Undergraduate ,26395,2548
1990,Asian American,Graduate ,8400,414
1990,Asian American,Professional ,904,14
1989,Asian American,Overall,34972,2633
1989,Asian American,Undergraduate ,25908,2200
1989,Asian American,Graduate ,8157,421
1989,Asian American,Professional ,907,12
1988,Asian American,Overall,35970,2493
1988,Asian American,Undergraduate ,26814,2082
1988,Asian American,Graduate ,8250,400
1988,Asian American,Professional ,906,11
1987,Asian American,Overall,36282,2284
1987,Asian American,Undergraduate ,27022,1862
1987,Asian American,Graduate ,8341,412
1987,Asian American,Professional ,919,10
1986,Asian American,Overall,36266,2022
1986,Asian American,Undergraduate ,27147,1636
1986,Asian American,Graduate ,8175,374
1986,Asian American,Professional ,944,12
1985,Asian American,Overall,35928,1867
1985,Asian American,Undergraduate ,27180,1508
1985,Asian American,Graduate ,7823,351
1985,Asian American,Professional ,925,8
1984,Asian American,Overall,34695,1596
1984,Asian American,Undergraduate ,26069,1271
1984,Asian American,Graduate ,7684,318
1984,Asian American,Professional ,942,7
1983,Asian American,Overall,34548,1478
1983,Asian American,Undergraduate ,25930,1159
1983,Asian American,Graduate ,7644,313
1983,Asian American,Professional ,974,6
1982,Asian American,Overall,34849,1331
1982,Asian American,Undergraduate ,26260,1043
1982,Asian American,Graduate ,7613,286
1982,Asian American,Professional ,976,2
1981,Asian American,Overall,35066,1190
1981,Asian American,Undergraduate ,26530,941
1981,Asian American,Graduate ,7564,247
1981,Asian American,Professional ,972,2
1980,Asian American,Overall,34686,1058
1980,Asian American,Undergraduate ,26398,832
1980,Asian American,Graduate ,7323,222
1980,Asian American,Professional ,965,4
1979,Asian American,Overall,34244,925
1979,Asian American,Undergraduate ,26026,722
1979,Asian American,Graduate ,7269,200
1979,Asian American,Professional ,949,3
1978,Asian American,Overall,33555,743
1978,Asian American,Undergraduate ,25324,541
1978,Asian American,Graduate ,7268,200
1978,Asian American,Professional ,963,2
1977,Asian American,Overall,33677,602
1977,Asian American,Undergraduate ,25218,449
1977,Asian American,Graduate ,7485,151
1977,Asian American,Professional ,974,2
1976,Asian American,Overall,33415,538
1976,Asian American,Undergraduate ,24748,392
1976,Asian American,Graduate ,7690,143
1976,Asian American,Professional ,977,3
1975,Asian American,Overall,34994,421
1975,Asian American,Undergraduate ,25771,319
1975,Asian American,Graduate ,8258,99
