Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,URM,Illinois,Non-Illinois,
120228 ,LN ,641 ,NDEG ,1249 ,Nondegree-CE ,  ,  ,109,45,61,3,25,16,4,7,0,0,2,2,53,4,0,0,18,11,0,109,10LN1249NDEX
120228 ,LN ,  ,  ,  ,Center Innov in Teach Learn ,  ,***College total*** ,188,75,110,3,79,26,9,12,0,0,3,3,56,9,0,0,29,21,3,185, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120228 ,LP ,  ,  ,  ,School of Information Sciences ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120228 ,LP ,468 ,PHD ,5094 ,Informatics ,  ,  ,56,32,24,0,15,9,5,2,0,0,0,25,0,5,0,0,9,7,20,36,10KS5094PHD
120228 ,LP ,992 ,BS ,5695 ,Information Sciences ,  ,  ,409,245,164,0,93,148,21,51,0,0,9,83,4,25,3,0,159,73,262,147,10LP5695BS
120228 ,LP ,992 ,BS ,6074 ,Information Sciences + DS ,  ,  ,30,17,13,0,2,13,0,1,0,0,0,14,0,0,0,0,13,1,12,18,10LP6074BS
120228 ,LP ,992 ,CAS ,0370 ,Library & Information Science ,  ,  ,3,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,10KS0370CAS
120228 ,LP ,992 ,CAS ,0370 ,Library & Information Science ,  ,  ,6,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10KS0370CASU
120228 ,LP ,992 ,MS ,0370 ,Library & Information Science ,  ,  ,203,41,162,0,143,7,11,25,0,0,7,9,1,14,4,0,12,38,95,108,10KS0370MS
120228 ,LP ,992 ,MS ,0370 ,Library & Information Science ,  ,  ,355,58,287,10,267,15,15,31,0,1,18,2,6,19,4,2,26,56,230,125,10KS0370MSU
120228 ,LP ,992 ,MS ,4026 ,Bioinformatics ,5956 ,Information Sciences ,3,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,10KS5956MS
120228 ,LP ,992 ,MS ,5581 ,Information Management ,  ,  ,413,228,185,0,0,7,2,0,0,0,0,403,1,2,0,0,7,2,3,410,1PKS5581MS
120228 ,LP ,992 ,MS ,5581 ,Information Management ,  ,  ,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1PKS5581MSU
120228 ,LP ,992 ,NDEG ,0370 ,Library & Information Science ,  ,  ,49,4,45,0,31,2,10,2,0,0,0,1,3,10,0,0,2,12,0,49,10KS0370NDEU
120228 ,LP ,992 ,NDEG ,5695 ,Information Sciences ,  ,  ,3,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,10LP5695NDEG
120228 ,LP ,992 ,PHD ,0370 ,Library & Information Science ,  ,  ,11,2,9,0,2,0,2,2,0,0,0,5,0,3,0,0,0,4,2,9,10KS0370PHD
120228 ,LP ,992 ,PHD ,5695 ,Information Sciences ,  ,  ,87,41,46,0,13,8,9,2,0,0,2,53,0,11,2,0,9,13,11,76,10KS5695PHD
120228 ,LP ,  ,  ,  ,School of Information Sciences ,  ,***College total*** ,1629,677,942,10,576,210,75,117,0,1,36,599,15,89,13,2,238,207,647,982, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120228 ,LT ,  ,  ,  ,Carle Illinois Medicine ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120228 ,LT ,869 ,MD ,5641 ,Medicine - Carle Illinois COM ,  ,  ,183,101,82,0,65,78,7,8,0,0,14,0,11,9,5,3,87,24,41,142,10LT5641MD
120228 ,LT ,  ,  ,  ,Carle Illinois Medicine ,  ,***College total*** ,183,101,82,0,65,78,7,8,0,0,14,0,11,9,5,3,87,24,41,142, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120228 ,NB ,  ,  ,  ,Provost & VC Acad Affairs ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120228 ,NB ,593 ,NDEG ,0067 ,Nondegree ,  ,  ,19,6,12,1,5,3,7,1,0,0,0,1,2,7,0,0,3,8,15,4,10NB0067NDEG
120228 ,NB ,  ,  ,  ,Provost & VC Acad Affairs ,  ,***College total*** ,19,6,12,1,5,3,7,1,0,0,0,1,2,7,0,0,3,8,15,4, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
